                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.83276,                0.35915,                0.90521,                0.99933,                      1,                  0.995,                0.79319,                0.86275,                0.30032,                0.94642,              0.0091387,              0.0091387,              0.0091387
                     89,                0.83575,                 0.3618,                0.90242,                0.99936,                      1,                  0.995,                0.80484,                0.84375,                0.29341,                0.93794,              0.0091288,              0.0091288,              0.0091288
                     90,                0.82718,                0.35667,                0.90065,                0.99924,                      1,                  0.995,                0.80225,                0.85541,                0.30084,                0.94474,              0.0091189,              0.0091189,              0.0091189
                     91,                0.83027,                0.36046,                 0.9041,                0.99912,                      1,                  0.995,                0.79554,                0.86836,                0.30093,                0.94609,               0.009109,               0.009109,               0.009109
                     92,                0.82856,                0.35403,                0.90468,                0.99933,                      1,                  0.995,                0.80297,                0.85563,                0.30147,                 0.9436,              0.0090991,              0.0090991,              0.0090991
                     93,                0.82445,                0.35499,                0.90232,                0.99913,                      1,                  0.995,                0.78201,                0.87456,                0.29856,                0.94637,              0.0090892,              0.0090892,              0.0090892
                     94,                0.82769,                0.35382,                0.90448,                0.99938,                      1,                  0.995,                0.79947,                0.85637,                0.30135,                0.93783,              0.0090793,              0.0090793,              0.0090793
                     95,                0.82414,                 0.3579,                0.90576,                0.99935,                      1,                  0.995,                 0.7895,                0.85989,                0.30315,                0.94256,              0.0090694,              0.0090694,              0.0090694
                     96,                 0.8296,                 0.3537,                0.90407,                0.99935,                      1,                  0.995,                0.80438,                0.85172,                0.29754,                0.94653,              0.0090595,              0.0090595,              0.0090595
                     97,                0.82841,                0.35327,                0.90221,                0.99909,                      1,                  0.995,                 0.7965,                0.85372,                0.30262,                0.94271,              0.0090496,              0.0090496,              0.0090496
                     98,                0.81959,                0.35674,                0.89766,                0.99926,                      1,                  0.995,                0.80493,                0.86095,                0.29969,                0.95105,              0.0090397,              0.0090397,              0.0090397
                     99,                0.82919,                  0.354,                0.90251,                 0.9993,                      1,                  0.995,                  0.796,                 0.8519,                0.30137,                0.94491,              0.0090298,              0.0090298,              0.0090298
                    100,                0.82468,                 0.3537,                0.89805,                0.99952,                      1,                  0.995,                0.80455,                0.86304,                0.30087,                0.94544,              0.0090199,              0.0090199,              0.0090199
                    101,                0.82356,                  0.353,                0.90125,                0.99927,                      1,                  0.995,                0.80878,                0.85146,                0.30081,                0.94261,                0.00901,                0.00901,                0.00901
                    102,                0.82885,                0.35331,                0.90571,                0.99915,                      1,                  0.995,                0.78899,                0.87088,                0.29806,                0.95091,              0.0090001,              0.0090001,              0.0090001
                    103,                0.81478,                0.35109,                0.89835,                0.99939,                      1,                  0.995,                0.79687,                0.85297,                0.29654,                0.94808,              0.0089902,              0.0089902,              0.0089902
