                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 0.7972,                0.34596,                0.89602,                0.99935,                      1,                  0.995,                0.79355,                0.86635,                0.30476,                0.94442,               0.009208,               0.009208,               0.009208
                     82,                0.80192,                0.34416,                0.89911,                0.99904,                      1,                  0.995,                0.78945,                  0.881,                0.30425,                0.95348,              0.0091981,              0.0091981,              0.0091981
                     83,                0.80046,                0.34283,                0.89319,                0.99913,                      1,                  0.995,                0.80073,                0.85799,                0.29609,                0.95104,              0.0091882,              0.0091882,              0.0091882
                     84,                0.80991,                 0.3422,                0.89631,                0.99932,                      1,                  0.995,                0.80805,                0.85258,                0.28801,                0.94295,              0.0091783,              0.0091783,              0.0091783
                     85,                0.79442,                0.33832,                0.89069,                0.99928,                      1,                  0.995,                0.80783,                0.83784,                0.28412,                0.93362,              0.0091684,              0.0091684,              0.0091684
                     86,                0.79791,                0.33951,                0.89427,                0.99909,                      1,                  0.995,                0.80949,                0.86015,                0.29402,                0.94153,              0.0091585,              0.0091585,              0.0091585
                     87,                0.79372,                0.33621,                0.89625,                0.99979,                      1,                  0.995,                0.81913,                0.83042,                0.29058,                0.93449,              0.0091486,              0.0091486,              0.0091486
                     88,                0.79586,                0.34165,                0.89443,                0.99918,                      1,                  0.995,                0.79451,                0.87068,                0.30663,                0.94581,              0.0091387,              0.0091387,              0.0091387
                     89,                0.79971,                0.34094,                0.89197,                0.99937,                      1,                  0.995,                0.80504,                0.84153,                0.29238,                0.93568,              0.0091288,              0.0091288,              0.0091288
                     90,                0.79182,                0.34215,                0.88977,                0.99925,                      1,                  0.995,                0.80815,                0.84479,                0.29297,                0.93355,              0.0091189,              0.0091189,              0.0091189
                     91,                0.79335,                0.34189,                0.89269,                0.99905,                      1,                  0.995,                0.80013,                0.86917,                0.29923,                0.94399,               0.009109,               0.009109,               0.009109
                     92,                0.78775,                0.33742,                0.89387,                0.99907,                      1,                  0.995,                0.79447,                0.86892,                0.29635,                0.94552,              0.0090991,              0.0090991,              0.0090991
                     93,                0.78784,                0.33749,                0.89207,                0.99922,                      1,                  0.995,                0.80052,                0.85584,                0.29394,                0.93928,              0.0090892,              0.0090892,              0.0090892
                     94,                0.78961,                0.33397,                0.89296,                0.99918,                      1,                  0.995,                0.80887,                0.84178,                0.29647,                0.92976,              0.0090793,              0.0090793,              0.0090793
                     95,                 0.7857,                0.33855,                0.89335,                0.99927,                      1,                  0.995,                0.80411,                0.83833,                0.28139,                 0.9318,              0.0090694,              0.0090694,              0.0090694
                     96,                0.79205,                0.33727,                0.89312,                0.99934,                      1,                  0.995,                0.79846,                  0.871,                0.29466,                0.95145,              0.0090595,              0.0090595,              0.0090595
                     97,                0.78512,                0.33353,                0.89004,                0.99934,                      1,                  0.995,                0.80437,                0.83096,                0.28447,                0.93444,              0.0090496,              0.0090496,              0.0090496
                     98,                0.78442,                0.33531,                0.88682,                 0.9993,                      1,                  0.995,                0.80649,                0.83404,                0.28631,                0.93838,              0.0090397,              0.0090397,              0.0090397
                     99,                0.78241,                0.33648,                0.89094,                0.99926,                      1,                  0.995,                 0.7979,                0.83987,                0.29339,                 0.9394,              0.0090298,              0.0090298,              0.0090298
                    100,                0.78545,                0.33373,                0.88664,                0.99938,                      1,                  0.995,                0.82016,                 0.8243,                0.28559,                0.92947,              0.0090199,              0.0090199,              0.0090199
                    101,                0.77616,                0.33387,                0.88948,                0.99895,                      1,                  0.995,                0.80288,                0.83684,                0.28945,                 0.9279,                0.00901,                0.00901,                0.00901
                    102,                0.78581,                0.33241,                0.89318,                0.99924,                      1,                  0.995,                0.81718,                0.82995,                0.28605,                0.93559,              0.0090001,              0.0090001,              0.0090001
                    103,                0.77429,                0.33017,                0.88623,                0.99935,                      1,                  0.995,                 0.8054,                 0.8495,                0.28949,                0.94331,              0.0089902,              0.0089902,              0.0089902
                    104,                0.77666,                0.33417,                0.88723,                0.99927,                      1,                  0.995,                0.81083,                0.83757,                0.29664,                0.93608,              0.0089803,              0.0089803,              0.0089803
                    105,                0.77778,                0.33428,                0.88824,                0.99922,                      1,                  0.995,                0.79782,                0.84178,                0.29724,                0.93819,              0.0089704,              0.0089704,              0.0089704
                    106,                0.77004,                0.33317,                0.88552,                 0.9992,                      1,                  0.995,                0.79405,                0.84513,                0.29515,                0.94136,              0.0089605,              0.0089605,              0.0089605
                    107,                0.77028,                0.33164,                0.88411,                0.99934,                      1,                  0.995,                0.81499,                0.84033,                0.29139,                0.93329,              0.0089506,              0.0089506,              0.0089506
                    108,                0.77198,                0.33201,                 0.8895,                0.99874,                      1,                  0.995,                0.80403,                0.84789,                0.29624,                0.94229,              0.0089407,              0.0089407,              0.0089407
                    109,                0.76394,                0.32741,                0.89016,                 0.9992,                      1,                  0.995,                0.81318,                0.84404,                0.28259,                0.93956,              0.0089308,              0.0089308,              0.0089308
                    110,                0.76694,                0.32684,                0.88893,                0.99937,                      1,                  0.995,                 0.7956,                0.84833,                0.28851,                0.94531,              0.0089209,              0.0089209,              0.0089209
                    111,                0.77114,                0.33021,                0.88773,                 0.9993,                      1,                  0.995,                0.80806,                0.82218,                0.28028,                0.92977,               0.008911,               0.008911,               0.008911
                    112,                0.76096,                0.32668,                0.88561,                0.99931,                      1,                  0.995,                0.80945,                0.85334,                0.29089,                0.94063,              0.0089011,              0.0089011,              0.0089011
                    113,                0.77158,                0.33039,                0.88413,                 0.9992,                      1,                  0.995,                0.81471,                0.83178,                 0.2881,                0.93169,              0.0088912,              0.0088912,              0.0088912
                    114,                0.75974,                0.32668,                0.88524,                0.99937,                      1,                  0.995,                0.80769,                0.83158,                0.28768,                0.93134,              0.0088813,              0.0088813,              0.0088813
                    115,                0.76504,                0.32704,                0.88853,                0.99936,                      1,                  0.995,                0.80614,                0.83151,                0.28936,                0.93489,              0.0088714,              0.0088714,              0.0088714
                    116,                 0.7605,                 0.3263,                0.88556,                0.99932,                      1,                  0.995,                0.80834,                0.83391,                0.28747,                0.93004,              0.0088615,              0.0088615,              0.0088615
                    117,                0.76007,                0.32459,                0.88547,                0.99928,                      1,                  0.995,                0.81743,                0.82983,                0.28947,                0.92977,              0.0088516,              0.0088516,              0.0088516
                    118,                0.75078,                0.32132,                0.88172,                0.99933,                      1,                  0.995,                0.80841,                0.83679,                0.28255,                0.93266,              0.0088417,              0.0088417,              0.0088417
                    119,                0.75482,                0.32371,                0.87861,                0.99918,                      1,                  0.995,                0.81604,                0.82625,                0.28228,                0.93287,              0.0088318,              0.0088318,              0.0088318
